string,count
eabacacd,2
eabacace,1
eabacbcc,67
eabacbcd,16
eabacbce,1
eabacccc,6
eabacccd,8
eabaccce,8
eabacdac,140
eabacdad,43
eabacdae,7
eabacdbc,20
eabacdbd,10
eabacdbe,3
eabacdcc,4
eabacdcd,18
eabacdce,7
eabadacc,9
eabadacd,2
eabadace,4
eabadbcc,26
eabadbcd,4
eabadbce,5
eabadccc,5
eabadccd,3
eabadcce,8
eabaddac,68
eabaddad,10
eabaddae,20
eabaddbc,12
eabaddbd,9
eabaddbe,2
eabaddcc,4
eabaddcd,4
eabaddce,15
eabaeaac,54
eabaeaad,122
eabaeaae,39
eabaeabc,1
eabaeabd,4
eabaeabe,6
eabaeacc,33
eabaeacd,48
eabaeace,95
eabaebac,44
eabaebad,151
eabaebae,97
eabaebbc,2
eabaebbd,8
eabaebbe,21
eabaebcc,97
eabaebcd,64
eabaebce,163
eabaecac,4
eabaecad,5
eabaecae,11
eabaecbc,1
eabaecbe,9
eabaeccc,15
eabaeccd,27
eabaecce,24
eabaedac,181
eabaedad,63
eabaedae,121
eabaedbc,3
eabaedbd,24
eabaedbe,38
eabaedcc,118
eabaedcd,54
eabaedce,218
eabbabcc,4
eabbabcd,3
eabbabce,4
eabbaccd,2
eabbacce,1
eabbadac,3
eabbadad,3
eabbadae,35
eabbadbc,1
eabbadbe,3
eabbadcd,2
eabbadce,11
eabbbace,2
eabbbbcc,5
eabbbbcd,2
eabbbbce,7
eabbbccc,1
eabbbcce,5
eabbbdac,8
eabbbdad,3
eabbbdae,15
eabbbdbc,2
eabbbdbe,1
eabbbdcd,2
eabbbdce,9
eabbcacc,6
eabbcace,2
eabbcbcc,14
eabbcbcd,1
eabbcbce,15
eabbcccc,5
eabbcccd,1
eabbccce,12
eabbcdac,13
eabbcdad,4
eabbcdae,15
eabbcdbc,1
eabbcdbd,2
eabbcdbe,2
eabbcdcd,8
eabbcdce,6
eabbdacc,3
eabbdace,3
eabbdbcc,12
eabbdbcd,1
eabbdbce,12
eabbdccd,1
eabbdcce,5
eabbddac,20
eabbddad,9
eabbddae,68
eabbddbc,1
eabbddbd,1
eabbddbe,11
eabbddcd,1
eabbddce,4
eabbeaac,4
eabbeaad,54
eabbeaae,161
eabbeabd,1
eabbeabe,7
eabbeacc,2
eabbeacd,2
eabbeace,24
eabbebac,8
eabbebad,57
eabbebae,180
eabbebbc,1
eabbebbd,1
eabbebbe,22
eabbebcc,9
eabbebcd,7
eabbebce,43
eabbecad,4
eabbecae,12
eabbecbe,4
eabbeccd,3
eabbecce,10
eabbedac,26
eabbedad,6
eabbedae,223
eabbedbc,2
eabbedbd,4
eabbedbe,31
eabbedcc,15
eabbedcd,5
eabbedce,201
eabcaace,12
eabcabce,27
eabcacce,9
eabcadae,81
eabcadbe,21
eabcadce,13
eabcbace,3
eabcbbce,10
eabcbcce,7
eabcbdae,36
eabcbdbe,15
eabcbdce,14
eabccace,4
eabccbce,10
eabcccce,13
eabccdae,35
eabccdbe,29
eabccdce,23
eabcdace,1
eabcdbce,6
eabcdcce,5
eabcddae,36
eabcddbe,18
eabcddce,11
eabceaae,59
eabceabe,4
eabceace,49
eabcebae,132
eabcebbe,18
eabcebce,171
eabcecae,15
eabcecbe,13
eabcecce,29
eabcedae,44
eabcedbe,17
eabcedce,245
eabdaace,15
eabdabce,63
eabdacce,6
eabdadae,86
eabdadbe,15
eabdbace,6
eabdbbce,27
eabdbcce,3
eabdbdae,76
eabdbdbe,10
eabdbdce,11
eabdcace,24
eabdcbce,79
eabdccce,12
eabdcdae,148
eabdcdbe,8
eabdcdce,11
eabddace,12
eabddbce,51
eabddcce,7
eabdddae,98
eabdddbe,11
eabdddce,8
eabdeaae,106
eabdeabe,2
eabdeace,179
eabdebae,139
eabdebbe,9
eabdebce,153
eabdecae,9
eabdecce,29
eabdedae,284
eabdedbe,57
eabdedce,57
eacaaacc,1
eacaaccd,1
eacaadac,2
eacaadad,4
eacaadcd,1
eacaadce,1
eacabace,1
eacabbcc,1
eacabcce,1
eacabdac,4
eacabdad,4
eacabdbc,1
eacabdbd,2
eacacacc,1
eacacbcc,7
eacacbcd,3
eacacbce,1
eacacccd,1
eacacdac,15
eacacdad,3
eacacdbc,1
eacacdbd,3
eacacdcd,1
eacadacc,3
eacadace,2
eacadbcd,3
eacadbce,2
eacadccc,1
eacadcce,2
eacaddac,12
eacaddad,7
eacaddae,17
eacaddbc,2
eacaddbd,1
eacaddbe,2
eacaddcc,1
eacaddcd,2
eacaddce,1
eacaeaac,1
eacaeaad,22
eacaeaae,13
eacaeabd,2
eacaeabe,2
eacaeacc,4
eacaeacd,3
eacaeace,9
eacaebac,1
eacaebad,30
eacaebae,22
eacaebbd,1
eacaebbe,7
eacaebcc,3
eacaebcd,3
eacaebce,17
eacaecad,2
eacaecae,3
eacaecbe,1
eacaeccd,4
eacaecce,4
eacaedac,16
eacaedad,6
eacaedae,54
eacaedbd,1
eacaedbe,8
eacaedcc,13
eacaedcd,3
eacaedce,14
eacbaccd,1
eacbadac,1
eacbadad,3
eacbadae,2
eacbbacc,1
eacbbbcc,2
eacbbbcd,1
eacbbbce,2
eacbbdac,1
eacbbdad,2
eacbbdbd,1
eacbbdce,1
eacbcacc,3
eacbcbcc,5
eacbcbcd,1
eacbcbce,2
eacbcccd,3
eacbccce,2
eacbcdac,18
eacbcdad,5
eacbcdae,6
eacbcdbd,2
eacbcdbe,1
eacbcdce,3
eacbdacc,1
eacbdace,4
eacbdbcc,4
eacbdbce,8
eacbdccc,2
eacbdcce,4
eacbddac,13
eacbddad,5
eacbddae,83
eacbddbc,4
eacbddbd,2
eacbddbe,5
eacbddcd,2
eacbddce,4
eacbeaac,1
eacbeaad,28
eacbeaae,80
eacbeabd,1
