string,count
daababaceaaabad,1
daababaceaadbab,1
daababaceaadbba,1
daababaceaadbbb,1
daababaddaaaaca,1
daababadeaaaaca,1
daababadeaaaacb,1
daababadeaadbab,1
daababadeaadbbb,1
daababadeaadbca,1
daababadeababcd,1
daababbabaeabaa,1
daababbadaedaca,2
daababbaeaaaaaa,2
daababbaeaaaabd,3
daababbaeaaaaca,2
daababbaeaaaacb,1
daababbaeaaabab,1
daababbaeaaabad,2
daababbaeaaabca,1
daababbaeaaabcb,1
daababbaeaaacac,1
daababbaeaadaaa,2
daababbaeacaaca,1
daababbaeaeaaac,1
daababbaeaeabca,1
daababbbdaedaca,1
daababbbeaaaaab,1
daababbbeaaaaad,2
daababbbeaaabaa,1
daababbbeaaabad,1
daababbbeaaabbb,1
daababbbeaaabca,3
daababbbeadabca,1
daababbbeaeabca,1
daababbceaaabad,1
daababbdeaaabaa,1
daababcbeaaaabd,1
daabacaabaeaaaa,1
daabacaacaeaaaa,1
daabacaaeababcb,1
daabacabeaaabcd,1
daabacabeaaacca,1
daabacbaeaeabcb,1
daabacbbeacaaca,1
daabacbceaedaca,1
daabadaaeaaaaad,1
daabadaaeaaaacd,1
daabadaceaaaacb,1
daabadbaeaaaaad,2
daabadbaeaaaacd,1
daabadbaeaaabad,1
daabadbbeaaabad,2
daabbaaaeaaaacd,1
daabbaaaeaaabad,2
daabbaaaeaadaaa,1
daabbaaaeaadbaa,1
daabbaaaeaaddad,1
daabbaaaeaeabca,1
daabbaabeaadaad,1
daabbaabeaadbaa,1
daabbabaaaeaaaa,1
daabbabaeaaaaad,3
daabbabaeaaabad,1
daabbabbeaaaaca,1
daabbabbeaadaaa,1
daabbbaaaaeaaaa,1
daabbbaadaedaca,1
daabbbaaeaaaaad,1
daabbbaaeaaaaca,1
daabbbaaeaaaacc,1
daabbbaaeaaabad,2
daabbbaaeaaabca,1
daabbbaaeaaabcb,2
daabbbaaeaadaad,1
daabbbaaeaadbab,2
daabbbaaeabdbab,1
daabbbaaeaeabcc,1
daabbbaaebaaacd,1
daabbbabbaadaaa,1
daabbbabcaeaaaa,1
daabbbabdaedbca,1
daabbbabeaaaaab,1
daabbbabeaaaacb,1
daabbbabeaaabca,1
daabbbabeaabaca,1
daabbbacdaedaca,1
daabbbaceaaabca,1
daabbbaceaaabcb,1
daabbbbacaeaaaa,1
daabbbbaeaaaaad,1
daabbbbaeaaaabd,1
daabbbbaeaaabad,1
daabbbbaeaaabcb,1
daabbbbaeabaaca,1
daabbbbaeababaa,1
daabbbbaeacbaaa,1
daabbbbbcaeabab,1
daabbbbbeaaabad,1
daabbbbbeaaabbd,1
daabbbbbeaaabcd,1
daabbbbbeaeabcc,1
daabbbbceaaaaca,1
daabbcaaeaaabbd,1
daabbcaaeababad,1
daabbcabdaeabbd,1
daabbcabeaaaaaa,1
daabbcaceaaaaca,1
daabbcbaeaaaaaa,1
daabbcbaeaaacab,1
daabbcbaebaabbd,1
daabbcbbeaaaaca,1
daabbdbaeababad,1
daabbdbaeaeaaad,1
daabbdbbeaaabad,1
daabcaaaeaaaacd,3
daabcaaaeaaacca,1
daabcaaaeaaaccd,1
daabcaaaeaadaaa,2
daabcaaaeaadbaa,2
daabcaaaeaadbab,2
daabcaaaeaeaaad,1
daabcaaaeaeaaca,2
daabcaaaebadbaa,1
daabcaaaebdabcd,1
daabcaabcaeaaaa,1
