string,anomaly,result
abbcdaad,0,0
cdbacaab,0,0
abacabac,0,0
eddaadac,1,1
aaacaaac,0,0
dbdcabae,2,1
aaacbbac,0,0
bbaaaaaa,0,0
dddcadae,1,1
aabcabbc,0,0
dbdcabae,2,1
bbbaaaaa,0,0
aabaaaaa,0,0
abaadaaa,0,0
aaaaaaaa,0,0
acbaaaaa,0,0
cbacbcac,0,0
baaabaaa,0,0
dddcadae,1,1
bbaaaaaa,0,0
aaacaaac,0,0
abaaaaaa,0,0
bacbabaa,0,0
baacabcc,0,0
bcbbabaa,0,0
aabaaaaa,0,0
abacaaac,0,0
acbaaaaa,0,0
eadabaac,2,1
adbabaaa,0,0
acaaaaaa,0,0
bbbcabac,0,0
aabcaaac,0,0
dddabdac,1,1
aabcaaac,0,0
dadabaac,2,1
aababaaa,0,0
abbcaaac,0,0
acbaaaaa,0,0
aaaabaaa,0,0
aabaaaaa,0,0
aaaaaaaa,0,0
abbcbaac,0,0
abaaaaaa,0,0
ebdaaaac,2,1
dbdcabae,2,1
dbdcaaae,2,1
bcbabaaa,0,0
aababbaa,0,0
bbaaaaaa,0,0
aaaabaaa,0,0
eddcbdae,1,1
dbbcbaac,0,0
bbbcbbac,0,0
aaaabaaa,0,0
eddaadac,1,1
abbcadac,0,0
aababbaa,0,0
aabcbaac,0,0
ddbcabbc,0,0
abaccbac,0,0
bababaaa,0,0
abbcbbac,0,0
eddcbdae,1,1
eddaadac,1,1
dbdcbaae,2,1
bdacbbac,0,0
dddabdac,1,1
eddcbdce,1,1
dcdcaaae,2,1
dddcadae,1,1
cabccaac,0,0
bbbcbbac,0,0
aaaabaaa,0,0
aabaaaaa,0,0
bbaabaaa,0,0
aabcaaac,0,0
cbbcabac,0,0
abbcaaac,0,0
aaaaaaaa,0,0
dbacbbcd,0,0
aaacbaac,0,0
bbbabaaa,0,0
aabaabaa,0,0
aababbaa,0,0
cabcbaac,0,0
aabcbaac,0,0
aaacaaac,0,0
dadcbbae,2,1
aaaabaaa,0,0
abacaaac,0,0
eddaeccd,2,1
eddacdac,1,1
abbccbac,0,0
bbbccaac,0,0
abaaaaaa,0,0
daaaaaaa,0,0
abaabbaa,0,0
bbbabbaa,0,0
aaacaaac,0,0
bbbaaaaa,0,0
aaaabaaa,0,0
dddaadac,1,1
aabaaaaa,0,0
cdbcabac,0,0
aababaaa,0,0
abbacaaa,0,0
aabaabaa,0,0
aaacaaac,0,0
bbbaabaa,0,0
aaaabaaa,0,0
cababaaa,0,0
dddaadac,1,1
cbbabbba,0,0
ccacbaac,0,0
dddaadac,1,1
dbbaaaaa,0,0
abacabac,0,0
aababaaa,0,0
aaacabac,0,0
dadcbbae,2,1
bbbacaaa,0,0
eddaadac,1,1
baaaaaaa,0,0
abacabac,0,0
ebdabaac,2,1
bbacabac,0,0
abbcabac,0,0
acbacaaa,0,0
acbcaaac,0,0
abacaaac,0,0
dddaadac,1,1
abbaacaa,0,0
abbacaaa,0,0
abbcabac,0,0
aacbaaaa,0,0
aabcaaac,0,0
abaaaaaa,0,0
abbcaaac,0,0
abacaaac,0,0
dddabdac,1,1
cbaacaaa,0,0
abaabaaa,0,0
aaacbaac,0,0
abbaaaaa,0,0
abbabbaa,0,0
cbbcaaac,0,0
bbbaabaa,0,0
dddabdac,1,1
aaaaabaa,0,0
baacbaac,0,0
aabaaaaa,0,0
baacabac,0,0
cabbbbaa,0,0
aaacabac,0,0
aabaabaa,0,0
bbbcaaac,0,0
bbacaacc,0,0
acbacaaa,0,0
ebdcabae,2,1
abbaaaaa,0,0
babcbaac,0,0
dbdcaaae,2,1
ccacabad,0,0
aaacabac,0,0
cabcbaac,0,0
eddaadac,1,1
dbbacaab,0,0
abbaaaaa,0,0
cbbabbaa,0,0
aabaabaa,0,0
abbaaaaa,0,0
cabaabaa,0,0
dcbacbbb,0,0
dddcadae,1,1
caacbaac,0,0
daaaabaa,0,0
aaacbaac,0,0
abbcbaac,0,0
dddabdac,1,1
babcaaac,0,0
aaacabac,0,0
aaacbbac,0,0
aaaaaaaa,0,0
bbacabac,0,0
dadcaaae,2,1
abbcbaac,0,0
bcacbbac,0,0
abaaaaaa,0,0
ababaaaa,0,0
ebdaaaac,2,1
cabcaabc,0,0
abbabaaa,0,0
dbacaaac,0,0
aaaaaaaa,0,0
bbbcbbac,0,0
dadaaaac,2,1
bbbcbaac,0,0
aaaabaaa,0,0
eddaadac,1,1
abaaaaba,0,0
cababaaa,0,0
aaacaaac,0,0
ccbacaaa,0,0
aaacabac,0,0
cbbcbaac,0,0
ebdabcbc,2,1
eddabdac,1,1
eddabdac,1,1
dbdaaaac,2,1
cbbaaaaa,0,0
aaacaaac,0,0
aabcbaac,0,0
aabcbaac,0,0
abaabaaa,0,0
abaaabaa,0,0
abbcaaac,0,0
adbaabaa,0,0
eddacdac,1,1
bbaaaaaa,0,0
eddcadae,1,1
bbacaaac,0,0
abbcbaac,0,0
bcbaabba,0,0
baacaaac,0,0
aabcaaac,0,0
bbbcbbac,0,0
aabaaaaa,0,0
eddcadae,1,1
eddcbbae,2,1
aabaaaaa,0,0
ebdaabac,2,1
dbdaaaac,2,1
bcbacaab,0,0
bbbaaaaa,0,0
abbaabaa,0,0
aaaabbaa,0,0
aaaabaaa,0,0
aabaaaaa,0,0
aaaaaaaa,0,0
abaaabaa,0,0
bdaabbaa,0,0
aaacbaac,0,0
aabaabaa,0,0
aaaacaaa,0,0
abbcaaac,0,0
dcbaabaa,0,0
dadaaaac,2,1
aabcaaac,0,0
cabcaaac,0,0
abacaaac,0,0
abacbbac,0,0
abbaabaa,0,0
aabacaaa,0,0
cabcaaac,0,0
aabbbaaa,0,0
aabbbaaa,0,0
aabaabaa,0,0
dbdcaabe,2,0
ccbaabaa,0,0
babcbbac,0,0
aaacacac,0,0
aabacbaa,0,0
abbaaaaa,0,0
dbdcaaae,2,1
bcbcbaac,0,0
dbdcaaae,2,1
aaacaaac,0,0
acbaaaaa,0,0
abbaabaa,0,0
bbaaabaa,0,0
bcbabbaa,0,0
cabcabac,0,0
aabaaaaa,0,0
bbbcabac,0,0
aabcaaac,0,0
abbcaaac,0,0
bbbcabac,0,0
aaacbbac,0,0
abccaaac,0,0
aababbaa,0,0
bbbcaaac,0,0
aaacabac,0,0
dddcadae,1,1
dcdcbbad,0,0
eddcadae,1,1
ecbadcbb,0,0
ebdaaaac,2,1
abbccaac,0,0
abacaaac,0,0
bbacaaac,0,0
abbabaaa,0,0
aaaaaaaa,0,0
abbcbbac,0,0
aabaaaaa,0,0
dbdaaaac,2,1
babaabaa,0,0
dadabaac,2,1
aaaaaaaa,0,0
cbaabbaa,0,0
aaaaaaaa,0,0
dabcaaac,0,0
aabaaaaa,0,0
cbaabaaa,0,0
abacbaac,0,0
abbaaaaa,0,0
abbaaaaa,0,0
aabcbaac,0,0
abbaaaaa,0,0
dddabdac,1,1
abaaabaa,0,0
aababaaa,0,0
aaacaaac,0,0
dadcaaae,2,1
eddabdac,1,1
acbabaaa,0,0
aaaaabaa,0,0
cbaaaaaa,0,0
bbaaaaba,0,0
aaaaaaaa,0,0
abbcabac,0,0
ddbaabbc,0,1
bbaabbaa,0,0
cababaaa,0,0
aaaaabaa,0,0
dddcadae,1,1
acacabac,0,0
aabcaaac,0,0
abacaaac,0,0
acacabac,0,0
aabaaaaa,0,0
dbbaacbb,0,0
abaabaaa,0,0
eddccdae,1,1
aabcaaac,0,0
dbdcabae,2,1
aabcaaac,0,0
abbccaac,0,0
dcaabbab,0,0
abacbaac,0,0
bbacbbac,0,0
dadcabae,2,1
aabcabbc,0,0
ebdcaaae,2,1
abdbcaab,0,0
bbbccbac,0,0
ccbaaaaa,0,0
eddbcdac,1,1
eddcbdae,1,1
aaacbaac,0,0
aabaaaaa,0,0
abacaaac,0,0
bcccbbad,0,0
aabcabac,0,0
aaacbbac,0,0
aabcaaac,0,0
eadacabc,2,1
cbacbaac,0,0
baaabaaa,0,0
bbbabaaa,0,0
abaabaaa,0,0
cbacbbac,0,0
abbaaaaa,0,0
abbcaaac,0,0
aaaaaaaa,0,0
abbccaac,0,0
aaacbaac,0,0
baaacaaa,0,0
aaacbaac,0,0
abbacaaa,0,0
aabcbbac,0,0
cabaabaa,0,0
bbbccbac,0,0
aababaaa,0,0
abacaaac,0,0
dddcadae,1,1
abbaaaaa,0,0
aababaaa,0,0
abbaabaa,0,0
bbbaaaaa,0,0
abacaaac,0,0
baaaaaaa,0,0
dbacbaac,0,0
eddaadac,1,1
bbaabbaa,0,0
eadcbaae,2,1
cbbcabac,0,0
aabaabaa,0,0
aabaaaaa,0,0
bbbcaaac,0,0
baaaabaa,0,0
aaaaabaa,0,0
cbbbbcaa,0,0
aaaaaaaa,0,0
abacabac,0,0
abacaaac,0,0
abbaaaaa,0,0
babcaaac,0,0
abccbbac,0,0
bbbcbaac,0,0
dadcbaae,2,0
dbbabbaa,0,0
cabaaaaa,0,0
bdbabcbb,0,0
abbcbaac,0,0
baacbbac,0,0
aaacaaac,0,0
abaaabaa,0,0
eddabdac,1,1
adaaaaaa,0,0
baacabac,0,0
eddcadae,1,1
eddaadac,1,1
dbbccaad,0,0
bbbacaaa,0,0
dddcadae,1,1
aabcabac,0,0
ccaaaaba,0,0
cbbaabaa,0,0
ddcccbcd,0,0
cbaaaaba,0,0
bbacbaac,0,0
baacaaac,0,0
eddcadae,1,1
dddcadae,1,1
eadabbac,2,1
acbacbab,0,0
dbbcccbd,0,0
babcabac,0,0
eddabdac,1,1
aabcbaac,0,0
babcaaac,0,0
dddaadac,1,1
bbcbbbab,0,0
dddaadac,1,1
bbbcbbac,0,0
dadcaaae,2,1
abaabaaa,0,0
abacbbac,0,0
babbcaaa,0,0
bbbaabaa,0,0
caaccaac,0,0
bbbcaaac,0,0
bbbcaaac,0,0
bbbabbaa,0,0
abbaaaaa,0,0
dbdcabae,2,1
dadaaaac,2,1
aaaaaaaa,0,0
bbaacaaa,0,0
aaaabaaa,0,0
abacabac,0,0
aabaaaaa,0,0
dbbabdbb,0,0
aaacaaac,0,0
babcaaac,0,0
abbabbaa,0,0
aaaaabaa,0,0
aabaaaaa,0,0
aababbaa,0,0
cbacabac,0,0
aaaaaaaa,0,0
abaaaaaa,0,0
aabcabac,0,0
baacaaac,0,0
bdabcaaa,0,0
aabcaaac,0,0
abbcbaac,0,0
abbcaaac,0,0
eddcabae,2,1
cababaaa,0,0
dadcabae,2,1
abaccbac,0,0
abbcabac,0,0
bbbbbaaa,0,0
aabaaaaa,0,0
cbacaaac,0,0
bababaaa,0,0
dadcbaae,2,0
abacbdac,0,0
cbbcabac,0,0
cbbaabaa,0,0
cabcabac,0,0
abaaaaaa,0,0
abbcabac,0,0
aabaabaa,0,0
acbcabac,0,0
babaaaaa,0,0
aababbaa,0,0
aabcabac,0,0
dddcbdae,1,1
dddcadae,1,1
dadaaaac,2,1
aabcbaac,0,0
eddaadac,1,1
abbcaaac,0,0
aabaaaaa,0,0
abbaaaaa,0,0
babacbaa,0,0
cdbaabaa,0,0
babccbac,0,0
dbaabaaa,0,0
baacaaac,0,0
dadcaaae,2,1
eadbbbbc,2,0
dbdaaaac,2,1
abbcabac,0,0
eddcadbe,1,1
bbacbabc,0,0
dbbaabaa,0,0
aaaaaaaa,0,0
abbaaaaa,0,0
baacabac,0,0
aaaaabaa,0,0
bacabaab,0,0
ccacabac,0,0
acbabbaa,0,0
eddcbdbe,1,1
abaaaaaa,0,0
aabaabaa,0,0
ecbadcab,0,0
dadaabac,2,1
aaaabcaa,0,0
ebdcabbe,2,1
abaababa,0,0
aaaaaaaa,0,0
aaacaaac,0,0
aaaccaac,0,0
dddcbdae,1,1
acbcbbac,0,0
eadabaac,2,1
eddcbdae,1,1
dbdabaac,2,1
abbcabac,0,0
adbaaaaa,0,0
abacbaac,0,0
abbcaaac,0,0
bbbaaaba,0,0
eddcadae,1,1
eddcbdbe,1,1
bbbcbbac,0,0
aabcabac,0,0
bdacacac,0,0
eddaadac,1,1
aabaaaaa,0,0
eadcaaae,2,1
aaacaaac,0,0
acbaaaaa,0,0
eddccdae,1,1
bbcaaaaa,0,0
aabbaaaa,0,0
aabaaaaa,0,0
dcdcabae,2,1
abaaabaa,0,0
abaaabaa,0,0
abbaabaa,0,0
baaaaaaa,0,0
eddaadac,1,1
bbbaaaaa,0,0
cbccaaac,0,0
eadcbbae,2,1
abaaabaa,0,0
aabbaaaa,0,0
baacbbac,0,0
bbacabac,0,0
aabcaaac,0,0
ddbabbbb,0,0
abbcbbac,0,0
caaaaaaa,0,0
aabaaaaa,0,0
bcbaabaa,0,0
cbbcdaad,0,0
dcacbbac,0,0
ddbaaaaa,0,0
aaaaabba,0,0
dddcbdae,1,1
bbbcaaac,0,0
eddcadae,1,1
aabcaaac,0,0
abaabaaa,0,0
abbaaaaa,0,0
aababbaa,0,0
cbaabbaa,0,0
caaabbaa,0,0
aababbaa,0,0
aaacabac,0,0
dcbaddac,0,0
bbbabcaa,0,0
aabcbcac,0,0
abacaaac,0,0
abacaaac,0,0
abbcbaac,0,0
aaacbbac,0,0
ecdaabac,2,1
aabcaaac,0,0
aaaaaaaa,0,0
bcbabaaa,0,0
abacbbac,0,0
eddcddae,1,1
abbabaaa,0,0
dddaadac,1,1
aabacaaa,0,0
acaaaaaa,0,0
aaaabaaa,0,0
cbbcaaac,0,0
abccbaac,0,0
dbbcacbc,0,0
cbbaaaaa,0,0
aaacabac,0,0
bbbcbaac,0,0
abacabac,0,0
bcaaabaa,0,0
bbbacbab,0,0
abaabbaa,0,0
eddaadac,1,1
bbbcbaac,0,0
dbdcbbae,2,1
abbabaaa,0,0
cdbaabca,0,0
aaaabbaa,0,0
ebdcaaae,2,1
bbbcabac,0,0
dddaadac,1,1
cabaabaa,0,0
aabaaaaa,0,0
babacaaa,0,0
aaacaaac,0,0
cbbaaaaa,0,0
dddaadac,1,1
dadcabae,2,1
caaaaaaa,0,0
dabcaaac,0,0
eddaadac,1,1
bbacaaac,0,0
abacaaac,0,0
aabaabaa,0,0
aaaaaaaa,0,0
dddaadac,1,1
aaaaaaaa,0,0
abaaaaaa,0,0
aababaaa,0,0
aababaaa,0,0
aaacaaac,0,0
bcaccabd,0,0
ecdbaaac,2,0
abbcaaac,0,0
dcbcbbbd,0,0
eadaabac,2,1
eddccdae,1,1
aaacabac,0,0
abbcaaac,0,0
dadcbbae,2,1
acaaaaca,0,0
abcaaaaa,0,0
bcaaabaa,0,0
aabaaaaa,0,0
aabcbbac,0,0
cbacbbac,0,0
bbbcbaac,0,0
aabcaaac,0,0
abbaabaa,0,0
aabcbaac,0,0
abbcbaac,0,0
cbbbabaa,0,0
dddaadac,1,1
cabccabc,0,0
cabccaac,0,0
aabcabac,0,0
aabcaaac,0,0
abbcaaac,0,0
dbbcabac,0,0
aaacaaac,0,0
abaabbaa,0,0
dbbccbad,0,0
abbaaaaa,0,0
caacaaac,0,0
abbabaaa,0,0
eddbdcbc,0,1
dbbaaaaa,0,0
abaaabaa,0,0
abbcbaac,0,0
abaaaaaa,0,0
acacbbac,0,0
abaaaaaa,0,0
cbaaabaa,0,0
aabcbaac,0,0
dddcadae,1,1
babcabac,0,0
abbabaaa,0,0
aababaaa,0,0
bbbabaaa,0,0
aabccbac,0,0
bcaccbad,0,0
dcbcccad,0,0
abbcbaac,0,0
abbcaaac,0,0
bcbccaac,0,0
babcbaac,0,0
baaaabaa,0,0
bcacabbc,0,0
babbaaaa,0,0
aabaaaaa,0,0
aabaabaa,0,0
baacbbac,0,0
dbdcabae,2,1
dddcadae,1,1
aaacaaac,0,0
abbcaaac,0,0
aababbaa,0,0
aacbaaaa,0,0
aabaaaaa,0,0
ebdcabbe,2,1
abbcabac,0,0
dcbacbab,0,0
ccaaabba,0,0
bbbaabaa,0,0
eddcadbe,1,1
abbaaaaa,0,0
dadaaaac,2,1
abbccabc,0,0
abbcbaac,0,0
dadaaaac,2,1
aabccaac,0,0
aababaaa,0,0
cbaabaaa,0,0
eddaadac,1,1
abbcabac,0,0
aabcabac,0,0
aababaaa,0,0
baacbaac,0,0
aabaaaaa,0,0
dddcadae,1,1
dadabaac,2,1
aabaaaaa,0,0
dddabdac,1,1
aabcaaac,0,0
abbcbaac,0,0
aabcabac,0,0
aacbabaa,0,0
bbaabbaa,0,0
cbacabac,0,0
ecdcabae,2,1
aabcaaac,0,0
dcdcacbe,2,0
babcaaac,0,0
abbaaaaa,0,0
ebdcabae,2,1
dbdcaaae,2,1
abbabaaa,0,0
dccccbbd,0,0
ddbccbac,0,0
abacaaac,0,0
abaabaaa,0,0
abbabaaa,0,0
bbacaaac,0,0
bbacaaac,0,0
bbacaaac,0,0
abbccaac,0,0
abbcbaac,0,0
bcaaaaaa,0,0
aaacaaac,0,0
aaacaaac,0,0
abaaaaaa,0,0
abbabbaa,0,0
abbaabaa,0,0
cbbcbbcc,0,0
bbbabbaa,0,0
babaaaaa,0,0
eadacaac,2,1
eddabdbc,1,1
abbaabaa,0,0
aabaaaaa,0,0
aabcaaac,0,0
dadcaaae,2,1
abbaaaaa,0,0
abacaaac,0,0
cbbcacbc,0,0
dadaabac,2,1
dadaaaac,2,1
cbbcaaac,0,0
aababaaa,0,0
bbaaabaa,0,0
babcaaac,0,0
bbaaaaaa,0,0
babcabac,0,0
dcbcdbad,0,0
ddaccbad,0,0
aaaacaaa,0,0
aabaaaaa,0,0
eddacdac,1,1
abccaaac,0,0
cccbcaab,0,0
aaacaaac,0,0
eddaadac,1,1
abbaaaaa,0,0
eddcbdae,1,1
aabaaaaa,0,0
aabacbaa,0,0
bbbcbbac,0,0
bababaaa,0,0
abaaaaaa,0,0
abaaaaaa,0,0
dadcbbae,2,1
abacaaac,0,0
cbbcaaac,0,0
bababbab,0,0
accaabaa,0,0
eddabdbc,1,1
ddbccbad,0,0
bbbcbbac,0,0
aaacaaac,0,0
aabcaaac,0,0
abbbaaaa,0,0
babcbaac,0,0
bdbacbab,0,0
aababaaa,0,0
bbbabbaa,0,0
cacbddab,0,0
aaaabaaa,0,0
aabcabac,0,0
bbbabbaa,0,0
ebdabaac,2,1
bbaabaaa,0,0
aabcbaac,0,0
eddabdac,1,1
dddcadae,1,1
bbacabac,0,0
abbcbaac,0,0
abbcabac,0,0
dddcbdae,1,1
abaaaaaa,0,0
abaaaaaa,0,0
aabcabac,0,0
bbbccaac,0,0
abbcaaac,0,0
dbdcbbac,0,0
abaaaaaa,0,0
cabcbaac,0,0
ddccbcad,0,0
aabcabac,0,0
abaaabaa,0,0
abacaaac,0,0
abacaaac,0,0
eddcadae,1,1
abbccaac,0,0
eddaadac,1,1
abbcbaac,0,0
abaabaaa,0,0
aaaabaaa,0,0
bbaaabaa,0,0
dadaabac,2,1
abbcbaac,0,0
abbaabaa,0,0
aaaabaaa,0,0
bbaaabaa,0,0
dadaaaac,2,1
aabcabac,0,0
dabaaaaa,0,0
cbbaaaaa,0,0
cbbacaaa,0,0
abaaabaa,0,0
cbaaabaa,0,0
dbdcaaae,2,1
dcacabac,0,0
dadcaaae,2,1
abbcbaac,0,0
abacaaac,0,0
dbbcabac,0,0
eadaaaac,2,1
abbbaaaa,0,0
abaabaaa,0,0
baaccaac,0,0
bbbaabaa,0,0
eadabaac,2,1
aabbaaaa,0,0
babcbaac,0,0
aabcaaac,0,0
aabcaaac,0,0
eddaadac,1,1
eddaadac,1,1
abbcabac,0,0
cbbabbaa,0,0
aabaaaaa,0,0
abbaaaaa,0,0
eadaabac,2,1
aabcadac,0,0
dbdacaac,2,1
cbaaaaaa,0,0
abacaaac,0,0
dbbcaaac,0,0
cbaaaaaa,0,0
eddabdac,1,1
cbacaaac,0,0
abbcaaac,0,0
acaaabaa,0,0
cbbccbad,0,0
bbbaabaa,0,0
aabcbaac,0,0
aaaaaaaa,0,0
babaabba,0,0
aababbaa,0,0
cbbaaaaa,0,0
eddcadbe,1,1
bcbbbaaa,0,0
aaacbaac,0,0
ddacbbcd,0,0
cbbccaac,0,0
aaaaabaa,0,0
dadacbac,2,1
ddbaccbc,0,1
ccacaaac,0,0
eddcadae,1,1
babadaab,0,0
bbbcabac,0,0
cccbbbaa,0,0
abbcbbac,0,0
babcaaac,0,0
baaaaaaa,0,0
abaaaaaa,0,0
bbaaabaa,0,0
dbdabaac,2,1
baacabac,0,0
abbabbaa,0,0
abacabac,0,0
acaaaaaa,0,0
abaaaaaa,0,0
bbaaaaaa,0,0
eddcadae,1,1
aaaaaaaa,0,0
bbacaaac,0,0
abacbaac,0,0
abacabac,0,0
abacbbac,0,0
abacaaac,0,0
dcbcabbd,0,0
aaacaaac,0,0
ddbbdbcc,0,0
aabaaaaa,0,0
abbabaaa,0,0
aabaabaa,0,0
dbdcaaae,2,1
abaabaaa,0,0
bcbacbaa,0,0
aaacabac,0,0
acaaaaaa,0,0
aaacaaac,0,0
abbcbbac,0,0
abaaabaa,0,0
dddcbdae,1,1
ababaaaa,0,0
adacabac,0,0
ecdcabce,2,1
dddaadbc,1,1
caaacbaa,0,0
abbabbaa,0,0
abaaaaaa,0,0
aaaabaaa,0,0
abbcaaac,0,0
acacaaac,0,0
abacabac,0,0
aabcbaac,0,0
babaabca,0,0
bcacaaac,0,0
bbbabaaa,0,0
eddabdac,1,1
cabaaaaa,0,0
bcbcbaac,0,0
aabcaaac,0,0
aabaabaa,0,0
bbacaaac,0,0
aabacbaa,0,0
abacbbac,0,0
aabaaaaa,0,0
ddbaabab,0,0
eddcbdae,1,1
bababaaa,0,0
babaabaa,0,0
bbbaabaa,0,0
abaaaaaa,0,0
dadaabac,2,1
abbcaaac,0,0
dbdaaaac,2,1
abbcaaac,0,0
ccbcbbac,0,0
aabaabaa,0,0
cbbcabac,0,0
aaaacbaa,0,0
bbaabaaa,0,0
eddabdac,1,1
dddaadac,1,1
dadcaaae,2,1
abacbbac,0,0
acbcbbac,0,0
aabcbaac,0,0
bbaaaaaa,0,0
bbbcabac,0,0
bbaaaaba,0,0
aabcabac,0,0
bbbabbaa,0,0
aabaaaaa,0,0
cbacaaac,0,0
bdbcbaac,0,0
dbbcdbad,0,0
abaabaaa,0,0
eddcadae,1,1
dabaaaaa,0,0
abacaaac,0,0
eddcadae,1,1
acbcaaac,0,0
babacbaa,0,0
dabcaaac,0,0
dadaabac,2,1
dddcadae,1,1
bbbaabaa,0,0
ccdbabba,0,0
dcacbdbd,0,0
dadcbaae,2,0
baacaaac,0,0
eadaaaac,2,1
bbbaabaa,0,0
ccbcbaac,0,0
aababbaa,0,0
aabcbbac,0,0
ebdcaaae,2,1
abbcabac,0,0
aabcaaac,0,0
bbacaaac,0,0
eddcbdae,1,1
abbcbaac,0,0
abbabbaa,0,0
abacaaac,0,0
bbbabbaa,0,0
ecdcabae,2,1
dbdaaaac,2,1
dddaadac,1,1
aaaaaaaa,0,0
bbbcabac,0,0
dadcaaae,2,1
baaabaaa,0,0
aabaaaaa,0,0
abbaabaa,0,0
abbaaaaa,0,0
abbcaaac,0,0
aaacaaac,0,0
dcacbbad,0,0
dddcadae,1,1
aaaaabba,0,0
aabacaaa,0,0
abbcabac,0,0
aabcaaac,0,0
abaceaad,0,0
abbaaaaa,0,0
abacaaac,0,0
eadcabae,2,1
cbacbbac,0,0
cbacbaac,0,0
dadabaac,2,1
cbbcbaac,0,0
abbcbcac,0,0
abacbbac,0,0
bbbaabaa,0,0
aabcbaac,0,0
dadaaaac,2,1
abbbbbaa,0,0
cbacabac,0,0
dbbaabaa,0,0
dbdaaaac,2,1
abcbbbaa,0,0
aabaacaa,0,0
abbaabaa,0,0
cbbabaaa,0,0
cacabaaa,0,0
aaacabac,0,0
dddcadae,1,1
abbbaaaa,0,0
aaaabaaa,0,0
aabcaaac,0,0
dbbcaaac,0,0
ebdaabac,2,1
bbcabaaa,0,0
abbcaaac,0,0
aabcabac,0,0
abaacbaa,0,0
dbbbbaaa,0,0
eadaaaac,2,1
aabaabaa,0,0
abccabac,0,0
aaacabac,0,0
aabcaaac,0,0
bbaabaaa,0,0
aaaaaaaa,0,0
aaacabac,0,0
abbcbaac,0,0
aababaaa,0,0
aabcabac,0,0
aaaaabaa,0,0
aababaaa,0,0
abbabaaa,0,0
aaacaaac,0,0
dadcaaae,2,1
dadcaaae,2,1
abbcaaac,0,0
aabcaaac,0,0
cdaabbbb,0,0
dddcadae,1,1
eddcadae,1,1
dabbaaaa,0,0
bbbcbbac,0,0
eddabdac,1,1
abbaabba,0,0
aababbaa,0,0
abbcaaac,0,0
abaaabaa,0,0
dddaadac,1,1
dadaaaac,2,1
bbbacaaa,0,0
abbcaaac,0,0
abaaaaaa,0,0
aabcaaac,0,0
ccacaaac,0,0
aabbabaa,0,0
dddabdac,1,1
abacaaac,0,0
dddcadae,1,1
dbbabbcb,0,0
aaaaaaaa,0,0
cbbcbbac,0,0
aaaaabaa,0,0
cbbcbaac,0,0
aaaaaaaa,0,0
aabcaaac,0,0
baacbaac,0,0
cdbaaaaa,0,0
eddaadbc,1,1
cbbcbaac,0,0
abbcbbac,0,0
aaaabbaa,0,0
cabcabac,0,0
bcacbbac,0,0
eddaadac,1,1
baacbaac,0,0
aaaaaaaa,0,0
adacabac,0,0
abbccaac,0,0
bbbadbab,0,0
cabcaaac,0,0
aacabaaa,0,0
dddaadac,1,1
abbaabaa,0,0
aaacaaac,0,0
aaaaaaaa,0,0
ccacabac,0,0
dddcbdae,1,1
eddabbbc,2,1
bbacbbac,0,0
dbaabaab,0,0
aaacacac,0,0
acbcabac,0,0
aabcbbac,0,0
aabaabaa,0,0
bcaaabaa,0,0
acacabbc,0,0
ebdcbbbe,2,1
abaaaaaa,0,0
babaabaa,0,0
aabaaaba,0,0
abbaabaa,0,0
bbaabaaa,0,0
aabaaaaa,0,0
aaaaabaa,0,0
bbbcabac,0,0
abbacbab,0,0
aabaabaa,0,0
dddaadac,1,1
dadaaaac,2,1
dddaadac,1,1
bcbabbaa,0,0
aaaccaac,0,0
ddbcaabd,0,0
aabccbac,0,0
abacacac,0,0
edacccbd,0,0
aaacaaac,0,0
dddcadae,1,1
dadcaaae,2,1
baacaaac,0,0
dccaccbb,0,0
ebdccaae,2,1
eadaaaac,2,1
cbbcbaac,0,0
acaaacaa,0,0
dbdabbbb,0,0
abacbaac,0,0
babaabaa,0,0
cbaabbaa,0,0
abaabaaa,0,0
caaaaaaa,0,0
bbbabbaa,0,0
aaacaaac,0,0
bacccaac,0,0
eddcbdae,1,1
aabaaaaa,0,0
dadcaaae,2,1
aaaaaaaa,0,0
aabcaaac,0,0
ecdaabac,2,1
bbbaaaaa,0,0
dbdaaaac,2,1
aaaaaaaa,0,0
cbbabbab,0,0
dcacabbc,0,0
aabcaaac,0,0
abbabaaa,0,0
aabaaaaa,0,0
bbbcaaac,0,0
bbaaaaaa,0,0
aaacabac,0,0
aaacaaac,0,0
aaacaaac,0,0
ebdcbaae,2,1
aacbbbaa,0,0
abbcaaac,0,0
abacaaac,0,0
abacaaac,0,0
ddaabbbb,0,0
ebdcbcae,2,1
cdbbabaa,0,0
abbcbaac,0,0
babcaaac,0,0
ebdcbbae,2,1
abaaaaaa,0,0
dabccaad,0,0
dbbcbabc,0,0
aabcbaac,0,0
eddccdae,1,1
bbbcabac,0,0
abaaaaaa,0,0
aabacaaa,0,0
abacbaac,0,0
acaaaaaa,0,0
babaabaa,0,0
babcbbbc,0,0
cbacaaac,0,0
dbdaaacc,2,1
abbcaaac,0,0
aabaabaa,0,0
abacaaac,0,0
abacbaac,0,0
dbbcabac,0,0
eddcbdae,1,1
bbbcbaac,0,0
cbaabbab,0,0
eddcbdae,1,1
abbcabac,0,0
ebdbabac,2,1
cbbacbaa,0,0
cbbacbaa,0,0
aaacaaac,0,0
aabaaaaa,0,0
dddaadac,1,1
cbbcbbac,0,0
aaaaaaaa,0,0
aaacbaac,0,0
